HomeTeam,AwayTeam,HScore,AScore
Brentford,Arsenal,2,0
Manchester Utd,Leeds,5,1
Watford,Aston Villa,3,2
Leicester,Wolves,1,0
Everton,Southampton,3,1
Chelsea,Crystal Palace,3,0
Burnley,Brighton,1,2
Norwich,Liverpool,0,3
Newcastle,West Ham,2,4
Tottenham,Manchester City,1,0
Liverpool,Burnley,2,0
Manchester City,Norwich,5,0
Leeds,Everton,2,2
Crystal Palace,Brentford,0,0
Aston Villa,Newcastle,2,0
Brighton,Watford,2,0
Wolves,Tottenham,0,1
Southampton,Manchester Utd,1,1
Arsenal,Chelsea,0,2
West Ham,Leicester,4,1
Manchester City,Arsenal,5,0
West Ham,Crystal Palace,2,2
Norwich,Leicester,1,2
Newcastle,Southampton,2,2
Brighton,Everton,0,2
Aston Villa,Brentford,1,1
Liverpool,Chelsea,1,1
Tottenham,Watford,1,0
Burnley,Leeds,1,1
Wolves,Manchester Utd,0,1
Crystal Palace,Tottenham,3,0
Watford,Wolves,0,2
Southampton,West Ham,0,0
Manchester Utd,Newcastle,4,1
Leicester,Manchester City,0,1
Brentford,Brighton,0,1
Arsenal,Norwich,1,0
Chelsea,Aston Villa,3,0
Leeds,Liverpool,0,3
Everton,Burnley,3,1
Newcastle,Leeds,1,1
Wolves,Brentford,0,2
Norwich,Watford,1,3
Manchester City,Southampton,0,0
Liverpool,Crystal Palace,3,0
Burnley,Arsenal,0,1
Aston Villa,Everton,3,0
West Ham,Manchester Utd,1,2
Brighton,Leicester,2,1
Tottenham,Chelsea,0,3
Manchester Utd,Aston Villa,0,1
Chelsea,Manchester City,0,1
Watford,Newcastle,1,1
Leicester,Burnley,2,2
Leeds,West Ham,1,2
Everton,Norwich,2,0
Brentford,Liverpool,3,3
Southampton,Wolves,0,1
Arsenal,Tottenham,3,1
Crystal Palace,Brighton,1,1
Manchester Utd,Everton,1,1
Wolves,Newcastle,2,1
Leeds,Watford,1,0
Chelsea,Southampton,3,1
Burnley,Norwich,0,0
Brighton,Arsenal,0,0
West Ham,Brentford,1,2
Tottenham,Aston Villa,2,1
Crystal Palace,Leicester,2,2
Liverpool,Manchester City,2,2
Watford,Liverpool,0,5
Southampton,Leeds,1,0
Norwich,Brighton,0,0
Manchester City,Burnley,2,0
Leicester,Manchester Utd,4,2
Aston Villa,Wolves,2,3
Brentford,Chelsea,0,1
Everton,West Ham,0,1
Newcastle,Tottenham,2,3
Arsenal,Crystal Palace,2,2
Arsenal,Aston Villa,3,1
Chelsea,Norwich,7,0
Southampton,Burnley,2,2
Leeds,Wolves,1,1
Everton,Watford,2,5
Crystal Palace,Newcastle,1,1
Brighton,Manchester City,1,4
West Ham,Tottenham,1,0
Brentford,Leicester,1,2
Manchester Utd,Liverpool,0,5
Leicester,Arsenal,0,2
Watford,Southampton,0,1
Newcastle,Chelsea,0,3
Manchester City,Crystal Palace,0,2
Liverpool,Brighton,2,2
Burnley,Brentford,3,1
Tottenham,Manchester Utd,0,3
Norwich,Leeds,1,2
Aston Villa,West Ham,1,4
Wolves,Everton,2,1
Southampton,Aston Villa,1,0
Manchester Utd,Manchester City,0,2
Crystal Palace,Wolves,2,0
Chelsea,Burnley,1,1
Brentford,Norwich,1,2
